epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,10531.7,3.42455,5.25907,5.87185,1.56645,0.52352,0.37361,0.39085,0.14703,0.49402,0.33045,0.33502,0.11366,3.6835,6.00117,6.44184,1.80117,0.00173168,0.00173168,0.00173168
50,10748.8,3.41381,5.25235,5.80078,1.55332,0.53993,0.41119,0.42366,0.16674,0.51809,0.36965,0.37569,0.13521,3.51279,5.72541,6.22041,1.7601,0.00172095,0.00172095,0.00172095
51,10969.6,3.41617,5.24955,5.86536,1.56927,0.53239,0.39241,0.40288,0.15278,0.50739,0.34652,0.35176,0.1212,3.6407,5.88688,6.34592,1.78592,0.00171004,0.00171004,0.00171004
52,11185.6,3.41322,5.26762,5.76101,1.55653,0.53033,0.40646,0.41608,0.1568,0.50848,0.37074,0.37455,0.12977,3.62685,5.84103,6.2383,1.77619,0.00169895,0.00169895,0.00169895
53,11403.7,3.41446,5.24548,5.79248,1.5571,0.54487,0.41532,0.42682,0.16607,0.51918,0.36514,0.36937,0.13057,3.586,5.82978,6.16257,1.76865,0.0016877,0.0016877,0.0016877
54,11631.3,3.39942,5.23289,5.83288,1.56299,0.52139,0.40587,0.41062,0.15516,0.50597,0.35844,0.35878,0.12412,3.70254,6.02065,6.27668,1.82156,0.00167628,0.00167628,0.00167628
55,11850.5,3.39012,5.21681,5.78573,1.55467,0.54271,0.40141,0.41808,0.15864,0.51656,0.35735,0.36338,0.12404,3.63871,5.88255,6.25914,1.802,0.0016647,0.0016647,0.0016647
56,12069.5,3.38584,5.21808,5.76967,1.55872,0.52871,0.40211,0.41485,0.15799,0.51054,0.3593,0.36566,0.12774,3.61575,5.85192,6.22238,1.784,0.00165295,0.00165295,0.00165295
57,12287.3,3.40344,5.23533,5.76323,1.55201,0.52737,0.39223,0.41037,0.15776,0.5121,0.34517,0.35725,0.12482,3.61228,5.85984,6.26883,1.81298,0.00164105,0.00164105,0.00164105
58,12508.4,3.38482,5.22688,5.76053,1.55194,0.54018,0.37873,0.39995,0.1518,0.5201,0.3403,0.35271,0.12187,3.67662,5.9099,6.35731,1.77825,0.00162899,0.00162899,0.00162899
59,12730.5,3.37134,5.19611,5.67692,1.53729,0.52794,0.39195,0.4057,0.15443,0.5101,0.34573,0.35441,0.12219,3.64088,5.92527,6.32474,1.77558,0.00161678,0.00161678,0.00161678
